round,idno,country,party_de,party_fr,party_hu,party_it,party_pl,age,urban,education(yy),activity,source_inc_h,income,satisfaction_inc,source_inc_p,age_group
9,42907,HU,0,0,3,0,0,32,1,12,66,1,9,2,1,25-65
9,42936,HU,0,0,66,0,0,79,3,13,66,4,77,7,66,66+
9,42945,HU,0,0,3,0,0,47,3,18,66,1,77,2,1,25-65
9,42968,HU,0,0,66,0,0,74,3,12,66,4,1,3,66,66+
9,42992,HU,0,0,7,0,0,70,3,12,66,4,3,3,4,66+
9,43014,HU,0,0,3,0,0,61,3,10,66,1,2,3,1,25-65
9,43136,HU,0,0,66,0,0,81,1,8,66,1,1,3,66,66+
9,43172,HU,0,0,3,0,0,61,4,8,66,4,77,4,4,25-65
9,43202,HU,0,0,66,0,0,30,3,12,66,1,88,3,1,25-65
9,43217,HU,0,0,3,0,0,61,1,12,66,1,77,3,66,25-65
9,43277,HU,0,0,3,0,0,42,3,12,66,1,5,2,1,25-65
9,43286,HU,0,0,66,0,0,16,4,10,66,1,88,2,9,18-24
9,43331,HU,0,0,66,0,0,47,3,8,66,1,77,3,1,25-65
9,43387,HU,0,0,66,0,0,43,1,11,66,1,3,2,1,25-65
9,43429,HU,0,0,7,0,0,78,3,12,66,4,8,2,4,66+
9,43453,HU,0,0,66,0,0,77,4,8,66,4,1,2,66,66+
9,43490,HU,0,0,3,0,0,41,4,12,66,1,77,7,1,25-65
9,43527,HU,0,0,66,0,0,71,3,12,66,4,77,7,77,66+
9,43552,HU,0,0,3,0,0,52,4,16,66,1,7,2,1,25-65
9,43608,HU,0,0,9,0,0,22,1,14,66,1,88,3,9,18-24
9,43647,HU,0,0,6,0,0,44,4,12,66,1,5,1,1,25-65
9,43657,HU,0,0,3,0,0,67,4,11,66,4,9,2,66,66+
9,43687,HU,0,0,3,0,0,66,3,8,66,4,77,3,4,66+
9,43690,HU,0,0,7,0,0,83,1,8,66,1,77,2,4,66+
9,43741,HU,0,0,3,0,0,53,4,18,66,1,9,2,66,25-65
9,43818,HU,0,0,66,0,0,79,3,8,66,4,8,2,4,66+
9,43823,HU,0,0,66,0,0,85,2,10,66,4,1,3,66,66+
9,43844,HU,0,0,77,0,0,45,3,16,66,1,77,7,77,25-65
9,43914,HU,0,0,6,0,0,41,1,12,66,1,6,2,1,25-65
9,43933,HU,0,0,6,0,0,22,3,14,66,1,8,2,8,18-24
9,43934,HU,0,0,66,0,0,57,1,13,66,1,77,3,1,25-65
9,43977,HU,0,0,66,0,0,65,3,11,66,4,1,3,66,25-65
9,43980,HU,0,0,77,0,0,34,1,17,66,1,77,2,1,25-65
9,44082,HU,0,0,4,0,0,30,3,11,66,1,77,2,66,25-65
9,44104,HU,0,0,6,0,0,63,4,8,66,4,1,4,4,25-65
9,44162,HU,0,0,66,0,0,65,3,14,66,4,77,3,4,25-65
9,44211,HU,0,0,3,0,0,52,4,12,66,1,8,1,1,25-65
9,44247,HU,0,0,4,0,0,29,3,20,66,1,77,1,66,25-65
9,44253,HU,0,0,3,0,0,23,4,12,66,1,3,3,1,18-24
9,44285,HU,0,0,66,0,0,23,4,12,66,1,77,2,1,18-24
9,44441,HU,0,0,77,0,0,72,3,12,66,4,2,3,66,66+
9,44446,HU,0,0,7,0,0,70,3,18,66,4,6,3,66,66+
9,44456,HU,0,0,1,0,0,62,4,18,66,1,5,3,1,25-65
9,44521,HU,0,0,77,0,0,43,1,14,66,1,9,3,66,25-65
9,44538,HU,0,0,3,0,0,56,3,5,66,1,3,4,1,25-65
9,44563,HU,0,0,3,0,0,29,3,17,66,1,77,3,66,25-65
9,44658,HU,0,0,3,0,0,59,1,12,66,1,77,2,1,25-65
9,44659,HU,0,0,3,0,0,72,4,14,66,4,1,3,66,66+
9,44703,HU,0,0,3,0,0,82,4,8,66,4,3,3,4,66+
9,44707,HU,0,0,7,0,0,80,1,8,66,4,77,2,4,66+
9,44722,HU,0,0,4,0,0,42,4,11,66,1,8,2,1,25-65
9,44724,HU,0,0,66,0,0,18,3,12,66,8,88,3,9,18-24
9,44744,HU,0,0,77,0,0,24,3,16,66,1,77,1,1,18-24
9,44779,HU,0,0,66,0,0,21,2,14,66,1,88,2,9,18-24
9,44801,HU,0,0,3,0,0,63,4,13,66,1,4,3,1,25-65
9,44936,HU,0,0,77,0,0,50,3,16,66,1,77,2,1,25-65
9,44948,HU,0,0,77,0,0,48,1,12,66,1,77,2,1,25-65
9,44961,HU,0,0,3,0,0,28,1,14,66,2,77,2,66,25-65
9,44972,HU,0,0,3,0,0,31,3,16,66,1,77,2,1,25-65
9,44973,HU,0,0,66,0,0,19,1,12,66,1,10,2,1,18-24
9,44980,HU,0,0,3,0,0,29,4,11,66,1,88,2,1,25-65
9,44983,HU,0,0,9,0,0,59,1,17,66,1,77,2,1,25-65
9,44984,HU,0,0,3,0,0,81,2,11,66,4,5,2,4,66+
9,45070,HU,0,0,66,0,0,17,4,11,66,1,88,3,9,18-24
9,45082,HU,0,0,3,0,0,67,4,16,66,4,77,2,4,66+
9,45110,HU,0,0,3,0,0,62,4,12,66,4,77,2,4,25-65
9,45153,HU,0,0,4,0,0,59,4,10,66,1,8,3,1,25-65
9,45175,HU,0,0,3,0,0,43,3,13,66,1,5,2,1,25-65
9,45185,HU,0,0,3,0,0,36,4,12,66,1,77,2,1,25-65
9,45196,HU,0,0,4,0,0,43,1,12,66,1,77,2,1,25-65
9,45198,HU,0,0,3,0,0,67,4,8,66,4,2,3,4,66+
9,45230,HU,0,0,66,0,0,37,4,17,66,1,6,3,1,25-65
9,45338,HU,0,0,3,0,0,63,4,8,6,4,2,2,66,25-65
9,45408,HU,0,0,4,0,0,26,4,16,66,1,77,2,1,25-65
9,45420,HU,0,0,3,0,0,66,4,11,66,4,8,2,4,66+
9,45450,HU,0,0,66,0,0,44,1,12,66,1,77,2,66,25-65
9,45475,HU,0,0,3,0,0,50,4,11,66,1,77,3,1,25-65
9,45493,HU,0,0,66,0,0,40,1,15,66,1,77,2,1,25-65
9,45501,HU,0,0,77,0,0,63,4,12,66,4,8,2,4,25-65
9,45527,HU,0,0,4,0,0,61,4,15,66,4,4,2,4,25-65
9,45566,HU,0,0,66,0,0,45,3,14,66,1,8,2,1,25-65
9,45569,HU,0,0,77,0,0,41,4,12,66,1,77,3,1,25-65
9,45577,HU,0,0,3,0,0,37,1,4,66,1,88,1,1,25-65
9,45600,HU,0,0,1,0,0,40,4,13,66,1,4,2,1,25-65
9,45638,HU,0,0,3,0,0,60,3,12,66,1,8,2,1,25-65
9,45676,HU,0,0,4,0,0,32,1,12,66,1,9,3,1,25-65
9,45685,HU,0,0,66,0,0,39,4,13,66,1,77,3,1,25-65
9,45690,HU,0,0,66,0,0,46,4,11,66,1,9,3,1,25-65
9,45787,HU,0,0,66,0,0,42,1,17,66,1,77,2,66,25-65
9,45815,HU,0,0,77,0,0,49,2,12,66,1,5,2,1,25-65
9,45823,HU,0,0,4,0,0,38,4,12,66,3,77,1,3,25-65
9,45850,HU,0,0,4,0,0,51,3,11,66,4,4,2,4,25-65
9,45871,HU,0,0,1,0,0,38,1,16,66,1,7,2,1,25-65
