idno,cntry,prtvede1,prtvede2,prtvtdfr,prtvtfhu,prtvtcit,prtvtdpl,lrscale,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
37690,AT,,,,,,,5,1,3,2,1,3,1,3,1,4,3,1,1,1,4,3,6,2,1,1,3,3,
37707,AT,,,,,,,3,1,5,2,2,3,2,4,2,4,4,1,2,2,2,4,2,3,1,2,3,4,
37723,AT,,,,,,,6,1,6,1,6,1,1,1,1,1,1,2,2,5,2,2,2,1,1,2,1,2,
37736,AT,,,,,,,88,6,5,3,6,2,3,1,1,1,4,3,2,6,2,6,1,4,3,1,1,5,
37747,AT,,,,,,,3,2,4,2,3,1,4,3,2,4,2,2,2,3,2,4,3,4,2,2,2,2,
37772,AT,,,,,,,3,3,4,2,2,2,2,2,2,2,4,1,1,1,2,5,1,1,2,4,2,2,
37790,AT,,,,,,,0,1,5,1,1,1,2,5,2,2,1,1,1,3,3,5,1,1,1,2,2,3,
37797,AT,,,,,,,5,1,3,4,1,1,5,2,8,2,8,1,1,5,1,5,1,1,1,1,1,5,
37805,AT,,,,,,,6,2,6,1,6,1,4,5,1,1,1,1,3,5,1,6,6,6,1,2,4,2,
37834,AT,,,,,,,5,2,4,2,3,5,1,1,4,4,2,2,2,4,1,4,3,3,1,4,2,3,
37835,AT,,,,,,,6,1,2,2,2,1,4,5,2,4,2,1,2,3,2,2,2,2,2,1,1,2,
37839,AT,,,,,,,8,2,2,3,2,1,1,1,1,3,2,1,2,2,1,4,1,1,1,3,1,1,
37862,AT,,,,,,,4,2,6,3,5,2,2,5,2,6,2,3,2,6,1,5,1,6,1,1,2,1,
37866,AT,,,,,,,0,4,5,2,5,1,6,1,1,1,4,3,2,4,1,6,1,3,1,2,2,6,
37892,AT,,,,,,,4,2,6,2,3,2,4,2,2,3,2,1,2,2,2,5,2,2,1,1,2,3,
37901,AT,,,,,,,3,2,4,1,2,2,2,4,2,4,3,2,1,3,2,4,2,2,2,1,6,4,
37932,AT,,,,,,,5,2,3,3,2,2,4,3,1,4,3,2,2,2,2,5,1,1,2,2,4,3,
37939,AT,,,,,,,5,2,4,2,1,1,2,4,2,3,2,1,2,1,3,3,1,1,1,2,1,2,
37953,AT,,,,,,,5,2,5,3,2,2,3,4,3,3,2,2,2,4,2,5,2,2,2,2,1,2,
37954,AT,,,,,,,5,2,2,2,2,1,3,3,2,3,2,1,1,3,1,4,1,1,1,1,1,2,
37966,AT,,,,,,,4,1,4,1,1,2,2,1,2,3,1,2,1,3,1,5,1,1,2,1,4,4,
37975,AT,,,,,,,5,2,4,2,3,2,2,3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,
37980,AT,,,,,,,4,1,3,1,2,1,3,6,1,3,2,3,1,3,2,4,2,1,1,1,2,3,
38033,AT,,,,,,,3,1,4,1,2,2,2,4,2,5,3,1,2,3,6,2,5,2,1,3,4,2,
38047,AT,,,,,,,5,3,3,3,3,2,3,3,3,3,3,3,3,3,2,4,3,2,2,2,2,3,
38049,AT,,,,,,,7,6,6,2,1,1,3,6,2,6,1,1,5,6,2,6,6,3,2,6,1,2,
38055,AT,,,,,,,4,2,4,1,3,1,3,3,1,3,2,3,1,3,1,5,2,3,1,1,1,3,
38090,AT,,,,,,,6,3,6,3,6,2,6,3,3,4,2,5,3,5,1,5,3,6,1,1,1,3,
38103,AT,,,,,,,5,2,1,2,2,4,2,2,2,2,2,1,1,1,1,2,2,3,1,1,3,2,
38133,AT,,,,,,,5,1,3,1,1,2,2,3,2,2,2,2,2,1,1,2,3,3,1,1,3,2,
38184,AT,,,,,,,10,3,3,1,5,1,5,2,1,1,3,1,2,2,2,5,1,3,2,2,3,5,
38243,AT,,,,,,,7,2,3,3,1,1,1,1,1,6,1,1,2,1,1,2,2,2,2,2,3,2,
38252,AT,,,,,,,5,3,6,2,3,2,2,1,3,3,5,3,2,4,2,6,1,1,1,4,2,1,
38260,AT,,,,,,,7,1,5,1,2,1,4,2,2,2,4,2,2,1,2,5,1,2,2,2,2,3,
38297,AT,,,,,,,88,1,3,1,2,1,1,6,6,1,1,2,1,1,1,4,3,3,1,2,1,1,
38323,AT,,,,,,,9,3,5,5,3,3,5,4,1,4,3,4,4,2,2,5,3,6,1,3,3,4,
38333,AT,,,,,,,4,3,4,2,2,2,4,2,3,2,3,1,2,3,2,4,2,2,2,3,2,4,
38377,AT,,,,,,,5,5,4,2,5,2,4,4,3,2,4,2,2,4,2,5,2,4,3,2,2,3,
38406,AT,,,,,,,6,2,6,2,3,1,3,6,1,5,2,1,1,3,1,5,5,2,1,1,3,2,
38407,AT,,,,,,,5,4,2,4,5,3,3,3,2,2,3,1,2,3,2,2,2,2,1,1,1,1,
38410,AT,,,,,,,1,3,6,1,3,3,2,4,1,4,3,3,2,2,5,3,5,3,2,3,4,3,
38421,AT,,,,,,,5,4,5,3,6,2,5,3,3,2,2,2,2,4,2,6,2,3,2,2,3,5,
