essround,idno,cntry,nwspol,prtvede1,prtvtdfr,prtvtfhu,prtvtcit,prtvtdpl,stfeco,stfedu,stfhlth,
9,3347,AT,120,,,,,,5,5,10,
9,3348,AT,35,,,,,,7,5,4,
9,3379,AT,60,,,,,,7,8,8,
9,3452,AT,30,,,,,,9,8,8,
9,3508,AT,5,,,,,,7,6,5,
9,3527,AT,20,,,,,,10,5,7,
9,3532,AT,10,,,,,,10,7,10,
9,3554,AT,60,,,,,,8,8,8,
9,3557,AT,90,,,,,,4,88,9,
9,3581,AT,20,,,,,,6,6,7,
9,3603,AT,150,,,,,,8,9,9,
9,3608,AT,60,,,,,,6,8,10,
9,3637,AT,180,,,,,,8,5,3,
9,3645,AT,60,,,,,,9,3,10,
9,3653,AT,40,,,,,,2,10,6,
9,3724,AT,60,,,,,,6,7,7,
9,3726,AT,10,,,,,,7,7,8,
9,3736,AT,120,,,,,,8,7,8,
9,3742,AT,15,,,,,,88,6,77,
9,3760,AT,10,,,,,,9,10,10,
9,3884,AT,30,,,,,,8,8,8,
9,3893,AT,30,,,,,,7,6,7,
9,3895,AT,30,,,,,,7,7,8,
9,3927,AT,60,,,,,,9,4,7,
9,3937,AT,60,,,,,,3,3,4,
9,3948,AT,30,,,,,,7,3,5,
9,3955,AT,45,,,,,,7,5,8,
9,3959,AT,15,,,,,,6,8,7,
9,4022,AT,5,,,,,,9,10,10,
9,4067,AT,30,,,,,,5,88,8,
9,4083,AT,30,,,,,,7,6,7,
9,4105,AT,20,,,,,,5,7,6,
9,4108,AT,120,,,,,,7,4,5,
9,4117,AT,60,,,,,,5,8,5,
9,4128,AT,30,,,,,,10,4,9,
9,4138,AT,30,,,,,,7,6,7,
9,4199,AT,60,,,,,,6,4,6,
9,4252,AT,15,,,,,,5,5,8,
9,4259,AT,180,,,,,,9,7,9,
9,4289,AT,60,,,,,,9,10,8,
9,4308,AT,45,,,,,,3,88,4,
9,4323,AT,60,,,,,,7,7,7,
9,4325,AT,10,,,,,,5,4,6,
9,4330,AT,20,,,,,,7,5,6,
9,4337,AT,60,,,,,,8,7,8,
9,4359,AT,30,,,,,,4,4,5,
9,4363,AT,20,,,,,,8,6,7,
9,4385,AT,30,,,,,,7,6,6,
9,4403,AT,120,,,,,,10,8,10,
9,4434,AT,0,,,,,,9,10,10,
9,4447,AT,60,,,,,,6,7,7,
9,4475,AT,30,,,,,,8,8,9,
9,4493,AT,90,,,,,,8,8,8,
9,4504,AT,45,,,,,,8,7,10,
9,4534,AT,20,,,,,,7,5,7,
9,4536,AT,30,,,,,,6,9,8,
9,4539,AT,30,,,,,,8,8,8,
9,4559,AT,60,,,,,,5,3,3,
9,4560,AT,30,,,,,,6,6,8,
9,4565,AT,45,,,,,,7,5,6,
9,4607,AT,5,,,,,,7,7,7,
9,4637,AT,30,,,,,,9,9,9,
9,4657,AT,60,,,,,,8,1,5,
9,4699,AT,30,,,,,,7,7,4,
9,4709,AT,30,,,,,,7,7,8,
9,4744,AT,20,,,,,,6,9,9,
9,4770,AT,15,,,,,,6,10,9,
9,4773,AT,0,,,,,,8,10,10,
9,4790,AT,120,,,,,,8,5,8,
9,4791,AT,15,,,,,,7,8,8,
9,4793,AT,240,,,,,,5,8,7,
9,4798,AT,5,,,,,,8,8,7,
9,4878,AT,30,,,,,,5,5,5,
9,4899,AT,30,,,,,,9,9,10,
9,4900,AT,30,,,,,,7,8,9,
9,4901,AT,20,,,,,,6,7,7,
9,4979,AT,10,,,,,,7,10,9,
9,4987,AT,30,,,,,,9,7,9,
9,4998,AT,10,,,,,,8,5,7,
9,5004,AT,60,,,,,,7,4,4,
9,5035,AT,20,,,,,,9,9,9,
9,5041,AT,30,,,,,,3,88,8,
9,5048,AT,2,,,,,,8,7,5,
9,5057,AT,60,,,,,,8,8,10,
9,5070,AT,20,,,,,,8,5,7,
9,5096,AT,30,,,,,,9,8,9,
9,5110,AT,0,,,,,,7,10,10,
9,5114,AT,15,,,,,,8,8,5,
9,5129,AT,15,,,,,,4,1,0,
9,5159,AT,80,,,,,,8,8,8,
9,5169,AT,30,,,,,,8,8,8,
9,5209,AT,30,,,,,,8,2,6,
9,5211,AT,2,,,,,,5,3,4,
9,5213,AT,10,,,,,,8,6,6,
9,5215,AT,60,,,,,,6,5,8,
9,5221,AT,0,,,,,,9,10,9,
9,5225,AT,10,,,,,,6,88,9,
9,5244,AT,10,,,,,,5,5,2,
9,5251,AT,30,,,,,,9,1,7,
9,5279,AT,45,,,,,,7,7,8,
9,5288,AT,5,,,,,,7,9,9,
9,5304,AT,60,,,,,,8,5,3,
9,5364,AT,30,,,,,,6,7,8,
9,5373,AT,60,,,,,,9,9,8,
9,5390,AT,30,,,,,,8,88,9,
9,5404,AT,60,,,,,,7,88,8,
9,5445,AT,0,,,,,,7,8,4,
9,5486,AT,30,,,,,,6,5,5,
9,5487,AT,30,,,,,,6,6,8,
9,5557,AT,40,,,,,,7,4,7,
9,5567,AT,45,,,,,,9,8,8,
9,5577,AT,60,,,,,,4,3,7,
9,5582,AT,30,,,,,,2,4,4,
9,5588,AT,60,,,,,,4,3,5,
9,5627,AT,30,,,,,,8,8,8,
9,5675,AT,300,,,,,,7,5,8,
9,5708,AT,15,,,,,,88,8,9,
9,5719,AT,120,,,,,,6,9,9,
9,5738,AT,150,,,,,,6,7,7,
9,5749,AT,30,,,,,,7,8,8,
9,5750,AT,30,,,,,,7,10,10,
9,5801,AT,30,,,,,,6,7,4,
9,5819,AT,30,,,,,,88,6,6,
9,5825,AT,30,,,,,,6,3,8,
9,5826,AT,30,,,,,,9,9,9,
9,5838,AT,60,,,,,,9,8,9,
9,5839,AT,20,,,,,,5,5,7,
9,5850,AT,120,,,,,,8,7,9,
9,5860,AT,60,,,,,,5,6,7,
9,5877,AT,10,,,,,,7,9,9,
9,5880,AT,60,,,,,,7,7,9,
9,5883,AT,180,,,,,,3,5,5,
9,5941,AT,60,,,,,,5,6,7,
9,5958,AT,0,,,,,,7,8,8,
9,5963,AT,0,,,,,,7,5,7,
9,5968,AT,60,,,,,,7,7,7,
9,5972,AT,30,,,,,,6,7,8,
9,5990,AT,15,,,,,,8,9,8,
9,6010,AT,0,,,,,,3,0,8,
9,6027,AT,60,,,,,,5,7,7,
9,6030,AT,30,,,,,,8,9,9,
9,6057,AT,60,,,,,,9,5,7,
9,6061,AT,60,,,,,,7,7,7,
9,6077,AT,30,,,,,,7,7,7,
9,6088,AT,15,,,,,,7,7,7,
9,6089,AT,10,,,,,,8,8,10,
