cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,lrscale,prtvtcfr,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
FR,ESS1-8e01,1.0,12.12.2018,155319,ESS6e02_4,6,2.4,154,0.92705134208097,0.667786051137553,2.702677846,7,10,2,6,2,5,5,3,6,2,4,1,4,1,3,3,5,4,3,3,3,3,3
FR,ESS1-8e01,1.0,12.12.2018,155320,ESS6e02_4,6,2.4,155,0.92705134208097,0.642812497873938,2.702677846,3,9,1,6,1,4,2,2,5,1,2,1,1,1,5,1,5,5,3,1,1,1,1
FR,ESS1-8e01,1.0,12.12.2018,155321,ESS6e02_4,6,2.4,162,0.92705134208097,0.965445987344507,2.702677846,8,10,5,3,1,1,1,5,1,2,2,1,2,2,4,1,6,1,1,1,1,2,4
FR,ESS1-8e01,1.0,12.12.2018,155322,ESS6e02_4,6,2.4,163,0.92705134208097,0.497397253569905,2.702677846,4,9,2,5,1,4,1,5,2,1,1,2,3,2,2,1,6,4,1,1,2,3,1
FR,ESS1-8e01,1.0,12.12.2018,155323,ESS6e02_4,6,2.4,164,0.463525671040485,0.495247079424191,2.702677846,5,12,2,6,1,4,5,2,5,1,2,1,2,1,4,2,6,1,4,2,1,5,1
FR,ESS1-8e01,1.0,12.12.2018,155324,ESS6e02_4,6,2.4,170,1.4518564153174,1.04663795650784,2.702677846,2,6,3,4,3,5,5,5,4,3,3,3,1,4,4,4,5,4,4,4,2,5,4
FR,ESS1-8e01,1.0,12.12.2018,155325,ESS6e02_4,6,2.4,172,0.483952152862031,0.340841369249541,2.702677846,3,9,2,5,1,4,1,1,2,1,1,2,1,1,4,1,4,3,2,2,3,2,3
FR,ESS1-8e01,1.0,12.12.2018,155326,ESS6e02_4,6,2.4,173,0.483952152862031,0.614391683975357,2.702677846,7,66,3,4,2,3,2,2,3,2,2,1,2,3,3,3,3,2,2,1,2,4,2
FR,ESS1-8e01,1.0,12.12.2018,155327,ESS6e02_4,6,2.4,174,0.483952152862031,0.517475525521878,2.702677846,8,11,1,2,2,1,1,2,2,2,2,2,2,2,3,2,3,1,1,1,1,1,3
FR,ESS1-8e01,1.0,12.12.2018,155328,ESS6e02_4,6,2.4,178,0.483952152862031,0.335832101762314,2.702677846,5,66,2,5,1,4,1,2,2,1,2,2,1,1,4,1,2,1,1,1,1,1,2
FR,ESS1-8e01,1.0,12.12.2018,155329,ESS6e02_4,6,2.4,179,0.967904305724063,1.03215811860302,2.702677846,6,66,1,6,3,5,1,1,4,3,2,4,1,1,5,1,5,3,1,2,2,3,2
FR,ESS1-8e01,1.0,12.12.2018,155330,ESS6e02_4,6,2.4,180,0.967904305724063,0.519722207112229,2.702677846,5,66,4,5,1,2,1,3,1,4,4,1,6,1,2,4,5,1,2,1,2,2,2
FR,ESS1-8e01,1.0,12.12.2018,155331,ESS6e02_4,6,2.4,181,0.889666737457058,0.951293965286224,2.702677846,4,9,4,5,1,4,1,5,1,1,1,5,2,1,5,1,5,1,1,1,1,1,4
FR,ESS1-8e01,1.0,12.12.2018,155332,ESS6e02_4,6,2.4,182,0.889666737457058,0.951293965286224,2.702677846,3,8,3,5,2,3,3,2,3,2,2,2,5,5,4,1,3,2,2,3,3,1,4
FR,ESS1-8e01,1.0,12.12.2018,155333,ESS6e02_4,6,2.4,183,1.77933347491412,1.25939336180639,2.702677846,3,66,4,5,1,4,1,4,3,3,1,4,3,1,5,1,5,1,5,1,1,1,1
FR,ESS1-8e01,1.0,12.12.2018,155334,ESS6e02_4,6,2.4,184,0.889666737457058,0.629696680903194,2.702677846,77,66,3,5,1,5,5,5,6,1,4,4,6,2,5,3,5,3,5,1,1,4,4
FR,ESS1-8e01,1.0,12.12.2018,155335,ESS6e02_4,6,2.4,190,0.889666737457058,1.12945844288647,2.702677846,10,66,2,1,2,2,4,1,2,2,2,1,1,1,4,2,5,2,2,2,2,5,2
FR,ESS1-8e01,1.0,12.12.2018,155336,ESS6e02_4,6,2.4,191,0.889666737457058,0.951293965286224,2.702677846,5,66,4,6,2,3,2,4,4,3,3,2,2,2,4,2,3,1,2,2,3,1,5
FR,ESS1-8e01,1.0,12.12.2018,155337,ESS6e02_4,6,2.4,192,3.55866694982823,2.56775809887998,2.702677846,8,10,2,4,1,3,2,5,5,3,3,4,2,4,4,3,5,2,5,4,3,5,4
FR,ESS1-8e01,1.0,12.12.2018,155338,ESS6e02_4,6,2.4,193,1.77933347491412,1.23474458597317,2.702677846,4,9,4,5,3,4,1,1,1,1,1,3,3,1,3,1,5,1,1,1,1,1,1
FR,ESS1-8e01,1.0,12.12.2018,155339,ESS6e02_4,6,2.4,196,0.889666737457058,0.94872679095112,2.702677846,5,10,1,6,1,4,1,1,5,1,4,4,4,1,4,3,1,4,1,1,4,6,1
FR,ESS1-8e01,1.0,12.12.2018,155340,ESS6e02_4,6,2.4,204,0.889666737457058,1.12945844288647,2.702677846,4,9,3,4,1,4,4,4,2,2,4,2,2,4,5,3,5,4,5,3,1,6,3
FR,ESS1-8e01,1.0,12.12.2018,155341,ESS6e02_4,6,2.4,207,0.476580440814444,0.888284946654255,2.702677846,5,66,5,5,1,5,2,2,2,2,2,2,2,4,5,2,5,2,4,2,5,2,2
FR,ESS1-8e01,1.0,12.12.2018,155342,ESS6e02_4,6,2.4,208,0.953160881628887,0.578784617321696,2.702677846,6,10,4,5,2,4,2,4,4,4,3,3,4,4,5,3,5,3,4,3,2,3,4
FR,ESS1-8e01,1.0,12.12.2018,155343,ESS6e02_4,6,2.4,211,0.953160881628887,1.21006615158164,2.702677846,5,2,4,4,4,4,4,5,5,5,5,4,4,4,5,4,5,5,5,4,5,5,4
FR,ESS1-8e01,1.0,12.12.2018,155344,ESS6e02_4,6,2.4,213,0.953160881628887,0.993412594036765,2.702677846,4,9,3,3,2,2,2,4,6,2,2,2,2,2,2,2,2,2,3,3,2,3,3
FR,ESS1-8e01,1.0,12.12.2018,155345,ESS6e02_4,6,2.4,214,0.953160881628887,1.01918634974731,2.702677846,10,10,1,6,1,1,1,5,5,1,1,5,1,1,5,5,5,5,5,1,5,1,5
FR,ESS1-8e01,1.0,12.12.2018,155346,ESS6e02_4,6,2.4,215,0.476580440814444,0.255902817150206,2.702677846,7,10,1,5,3,3,1,4,4,2,2,4,3,2,4,4,5,3,3,3,3,4,4
FR,ESS1-8e01,1.0,12.12.2018,155347,ESS6e02_4,6,2.4,216,1.42974127983372,0.767708428571122,2.702677846,7,66,2,5,2,4,5,4,5,3,5,2,4,2,4,2,5,6,4,1,3,2,1
FR,ESS1-8e01,1.0,12.12.2018,155348,ESS6e02_4,6,2.4,219,0.476580440814444,0.294662833510918,2.702677846,10,10,3,4,2,5,3,8,5,4,1,1,2,4,4,2,6,5,4,2,2,2,2
FR,ESS1-8e01,1.0,12.12.2018,155349,ESS6e02_4,6,2.4,220,0.476580440814444,0.509593174873655,2.702677846,7,66,4,6,2,2,2,2,2,2,2,2,2,2,2,2,6,2,6,4,2,2,5
FR,ESS1-8e01,1.0,12.12.2018,155350,ESS6e02_4,6,2.4,225,0.953160881628887,1.01643596013565,2.702677846,5,66,1,6,3,1,5,3,5,2,3,3,1,1,2,4,3,5,5,1,5,4,4
FR,ESS1-8e01,1.0,12.12.2018,155351,ESS6e02_4,6,2.4,226,1.62140103528068,1.85768874151487,2.702677846,2,9,2,6,1,4,3,1,1,2,1,3,2,2,2,2,4,2,3,2,2,2,4
