essround,idno,cntry,prtvede1,prtvtdfr,prtvtfhu,prtvtcit,prtvtdpl,agea,domicil,eduyrs,mainact,hincsrca,hinctnta,hincfel,iincsrc,
9,4325,AT,,,,,,55,3,13,66,4,4,2,9,
9,4330,AT,,,,,,61,3,11,66,4,5,3,4,
9,4337,AT,,,,,,48,4,11,66,1,2,2,66,
9,4359,AT,,,,,,41,4,88,66,77,77,2,77,
9,4363,AT,,,,,,60,2,13,66,4,6,1,66,
9,4385,AT,,,,,,70,3,8,66,4,9,1,4,
9,4403,AT,,,,,,72,2,12,66,4,3,2,66,
9,4434,AT,,,,,,26,1,12,66,1,5,2,1,
9,4447,AT,,,,,,77,3,8,66,4,5,2,66,
9,4475,AT,,,,,,63,4,9,66,4,1,3,66,
9,4493,AT,,,,,,52,3,13,66,2,77,1,66,
9,4504,AT,,,,,,62,1,12,66,4,2,2,66,
9,4534,AT,,,,,,24,1,18,66,6,77,2,8,
9,4536,AT,,,,,,29,1,12,66,1,5,2,1,
9,4539,AT,,,,,,70,1,9,6,4,4,2,66,
9,4559,AT,,,,,,65,2,11,66,4,8,2,4,
9,4560,AT,,,,,,46,4,12,66,1,77,3,66,
9,4565,AT,,,,,,31,3,12,66,1,6,2,1,
9,4607,AT,,,,,,44,4,12,66,1,4,1,1,
9,4637,AT,,,,,,16,4,10,66,1,2,8,9,
9,4657,AT,,,,,,75,1,17,66,4,9,1,4,
9,4699,AT,,,,,,76,4,9,66,4,4,1,66,
9,4709,AT,,,,,,49,4,12,66,1,7,2,1,
9,4744,AT,,,,,,42,1,12,66,1,8,2,1,
9,4770,AT,,,,,,20,3,12,66,1,2,2,66,
9,4773,AT,,,,,,26,1,12,66,1,7,2,6,
9,4790,AT,,,,,,63,3,12,66,4,5,1,66,
9,4791,AT,,,,,,55,3,12,66,1,4,1,66,
9,4793,AT,,,,,,75,1,10,66,4,3,2,66,
9,4798,AT,,,,,,38,1,13,66,1,7,1,1,
9,4878,AT,,,,,,51,4,12,1,1,3,2,1,
9,4899,AT,,,,,,43,3,12,66,5,3,4,66,
9,4900,AT,,,,,,55,4,12,66,1,8,2,1,
9,4901,AT,,,,,,21,3,12,66,6,1,2,66,
9,4979,AT,,,,,,17,4,10,66,1,2,8,9,
9,4987,AT,,,,,,40,2,12,66,1,8,1,1,
9,4998,AT,,,,,,51,1,23,66,1,7,1,66,
9,5004,AT,,,,,,56,4,22,66,2,2,2,66,
9,5035,AT,,,,,,26,4,12,66,1,2,1,66,
9,5041,AT,,,,,,54,1,12,66,4,5,3,5,
9,5048,AT,,,,,,48,5,12,66,1,9,1,2,
9,5057,AT,,,,,,69,1,17,66,4,1,2,66,
9,5070,AT,,,,,,62,4,12,66,1,6,1,1,
9,5096,AT,,,,,,39,5,22,66,1,3,2,1,
9,5110,AT,,,,,,52,3,12,66,1,2,3,66,
9,5114,AT,,,,,,70,3,12,66,4,4,2,99,
9,5129,AT,,,,,,75,4,8,66,4,1,4,66,
9,5159,AT,,,,,,86,1,10,66,4,4,2,4,
9,5169,AT,,,,,,33,5,13,66,1,88,2,1,
9,5209,AT,,,,,,35,4,14,66,1,5,2,66,
9,5211,AT,,,,,,29,4,14,66,1,77,2,66,
9,5213,AT,,,,,,999,4,9,1,1,77,7,1,
9,5215,AT,,,,,,26,1,16,66,6,5,2,8,
9,5221,AT,,,,,,24,4,12,66,1,6,2,1,
9,5225,AT,,,,,,53,4,15,4,5,6,3,66,
9,5244,AT,,,,,,55,5,12,66,1,5,3,1,
9,5251,AT,,,,,,54,4,11,66,1,10,1,1,
9,5279,AT,,,,,,77,5,8,66,4,4,2,4,
9,5288,AT,,,,,,37,4,20,66,1,10,2,1,
9,5304,AT,,,,,,63,1,20,66,1,9,1,66,
9,5364,AT,,,,,,74,4,12,66,4,5,2,4,
9,5373,AT,,,,,,41,4,12,1,1,77,2,1,
9,5390,AT,,,,,,60,4,9,66,4,5,2,4,
9,5404,AT,,,,,,70,4,11,66,4,5,2,4,
9,5445,AT,,,,,,60,5,9,1,1,6,1,2,
9,5486,AT,,,,,,67,3,12,66,4,8,3,66,
9,5487,AT,,,,,,41,1,10,66,4,1,4,66,
9,5557,AT,,,,,,77,3,11,66,4,77,1,4,
9,5567,AT,,,,,,55,4,11,66,1,7,2,1,
9,5577,AT,,,,,,53,2,13,66,1,88,2,66,
9,5582,AT,,,,,,51,4,9,4,5,7,2,8,
9,5588,AT,,,,,,16,1,9,66,1,10,1,9,
9,5627,AT,,,,,,50,3,12,66,1,6,1,66,
9,5675,AT,,,,,,73,3,11,66,4,2,2,66,
9,5708,AT,,,,,,72,3,11,66,4,7,1,4,
9,5719,AT,,,,,,35,1,12,66,77,77,2,77,
9,5738,AT,,,,,,83,2,11,66,4,5,1,4,
9,5749,AT,,,,,,53,4,12,66,1,5,1,1,
9,5750,AT,,,,,,62,2,12,66,5,77,3,5,
9,5801,AT,,,,,,46,4,12,66,1,10,1,1,
9,5819,AT,,,,,,84,4,11,66,4,4,1,66,
9,5825,AT,,,,,,40,3,13,66,1,88,1,1,
9,5826,AT,,,,,,38,4,14,66,1,5,1,1,
9,5838,AT,,,,,,32,4,13,66,1,8,1,1,
9,5839,AT,,,,,,37,1,9,66,1,5,2,9,
9,5850,AT,,,,,,77,3,11,66,4,9,1,4,
9,5860,AT,,,,,,46,1,25,66,1,4,1,1,
9,5877,AT,,,,,,57,1,15,66,4,77,2,4,
9,5880,AT,,,,,,61,4,15,66,4,77,7,4,
9,5883,AT,,,,,,79,4,8,66,4,3,3,4,
9,5941,AT,,,,,,28,3,12,66,1,6,2,1,
9,5958,AT,,,,,,56,2,9,66,4,2,2,4,
9,5963,AT,,,,,,21,4,10,66,8,1,4,8,
9,5968,AT,,,,,,48,4,11,66,5,1,3,66,
9,5972,AT,,,,,,46,4,12,66,1,7,2,1,
9,5990,AT,,,,,,25,1,11,66,1,77,2,1,
9,6010,AT,,,,,,50,1,12,1,1,77,2,99,
9,6027,AT,,,,,,63,1,13,66,4,5,2,4,
9,6030,AT,,,,,,40,2,10,2,5,2,3,5,
9,6057,AT,,,,,,83,4,17,66,4,6,1,4,
9,6061,AT,,,,,,72,1,12,66,4,3,2,66,
9,6077,AT,,,,,,38,4,11,66,1,4,2,1,
9,6088,AT,,,,,,66,3,12,66,4,1,3,66,
9,6089,AT,,,,,,63,4,9,66,4,9,1,4,
9,6096,AT,,,,,,34,4,12,66,1,9,1,1,
9,6140,AT,,,,,,59,1,16,66,1,7,3,1,
9,6187,AT,,,,,,73,1,11,66,4,7,1,4,
9,6208,AT,,,,,,55,1,13,66,1,6,2,1,
9,6267,AT,,,,,,68,5,14,6,4,88,1,4,
9,6277,AT,,,,,,55,4,12,66,1,10,1,1,
9,6382,AT,,,,,,68,4,12,66,4,3,3,66,
9,6490,AT,,,,,,58,4,9,66,1,3,2,66,
9,6500,AT,,,,,,26,1,13,2,8,1,2,8,
9,6514,AT,,,,,,26,2,14,66,1,6,2,1,
9,6519,AT,,,,,,29,3,19,66,1,77,1,1,
9,6557,AT,,,,,,60,3,13,6,1,10,1,4,
9,6563,AT,,,,,,49,4,18,66,1,8,2,1,
9,6612,AT,,,,,,62,2,12,66,1,77,1,1,
9,6627,AT,,,,,,54,4,15,5,5,1,2,66,
9,6669,AT,,,,,,56,2,10,66,3,3,2,4,
9,6672,AT,,,,,,64,1,22,66,1,7,1,2,
9,6682,AT,,,,,,76,3,8,66,4,7,2,4,
9,6706,AT,,,,,,25,3,12,66,1,2,1,66,
9,6715,AT,,,,,,80,1,11,66,4,5,2,4,
9,6719,AT,,,,,,49,3,13,66,1,6,1,66,
9,6720,AT,,,,,,65,1,12,1,4,6,2,66,
9,6731,AT,,,,,,82,4,11,1,2,5,2,2,
9,6792,AT,,,,,,62,1,12,66,4,4,1,4,
9,6795,AT,,,,,,63,3,19,1,1,10,1,1,
9,6807,AT,,,,,,85,2,11,66,4,2,2,66,
9,6813,AT,,,,,,49,4,12,66,1,88,2,1,
9,6828,AT,,,,,,66,3,12,66,4,8,2,4,
9,6834,AT,,,,,,75,5,10,66,4,1,2,4,
9,6848,AT,,,,,,44,1,11,66,1,4,1,66,
9,6854,AT,,,,,,59,4,12,1,1,77,1,66,
9,6867,AT,,,,,,75,2,11,66,4,77,2,4,
9,6915,AT,,,,,,32,4,12,66,1,5,2,1,
9,6930,AT,,,,,,49,4,9,66,1,3,2,66,
9,6951,AT,,,,,,57,1,16,66,4,3,1,66,
9,6988,AT,,,,,,78,4,12,66,4,5,1,4,
9,6999,AT,,,,,,61,3,7,66,5,5,4,5,
9,7003,AT,,,,,,64,1,15,66,1,3,2,66,
9,7010,AT,,,,,,71,3,12,66,4,4,2,4,
9,7013,AT,,,,,,68,3,12,6,4,4,2,66,
9,7027,AT,,,,,,85,3,9,66,4,2,2,66,
9,7063,AT,,,,,,62,5,9,66,4,4,2,4,
9,7131,AT,,,,,,46,1,15,66,1,10,2,1,
9,7192,AT,,,,,,54,3,12,66,1,9,1,1,
9,7198,AT,,,,,,16,4,10,66,1,77,2,1,
9,7217,AT,,,,,,53,4,13,66,1,5,2,66,
9,7257,AT,,,,,,71,3,11,66,4,1,3,66,
9,7261,AT,,,,,,71,4,10,66,4,5,2,4,
9,7264,AT,,,,,,40,4,77,66,1,4,2,66,
9,7270,AT,,,,,,78,2,9,66,4,2,2,4,
9,7280,AT,,,,,,32,3,12,66,1,2,2,66,
9,7286,AT,,,,,,30,4,11,66,1,6,1,1,
9,7306,AT,,,,,,56,4,13,66,1,3,1,66,
9,7317,AT,,,,,,43,3,12,66,1,8,2,1,
9,7334,AT,,,,,,69,3,12,66,4,5,3,4,
9,7354,AT,,,,,,44,4,12,66,1,1,3,1,
9,7363,AT,,,,,,24,4,12,1,1,2,3,66,
9,7387,AT,,,,,,42,1,18,66,1,5,1,66,
9,7406,AT,,,,,,49,4,13,66,1,4,2,1,
9,7414,AT,,,,,,32,4,12,1,1,4,3,1,
9,7441,AT,,,,,,39,4,13,66,1,9,2,1,
9,7487,AT,,,,,,79,5,11,66,4,6,2,4,
9,7496,AT,,,,,,44,4,25,66,2,88,3,2,
9,7502,AT,,,,,,73,4,18,9,4,7,1,4,
9,7519,AT,,,,,,50,2,10,66,1,6,3,1,
9,7588,AT,,,,,,65,1,4,66,4,2,4,4,
9,7608,AT,,,,,,66,4,8,66,4,3,2,66,
9,7628,AT,,,,,,56,4,12,66,3,77,2,9,
9,7637,AT,,,,,,28,3,77,66,1,5,1,66,
9,7648,AT,,,,,,53,3,9,1,1,9,2,1,
9,7662,AT,,,,,,58,1,9,66,4,1,3,66,
9,7675,AT,,,,,,24,4,13,66,1,5,2,66,
9,7689,AT,,,,,,25,4,13,66,1,3,1,66,
9,7702,AT,,,,,,36,2,12,66,1,5,2,1,
9,7711,AT,,,,,,55,3,12,66,1,3,2,66,
9,7718,AT,,,,,,16,3,10,66,1,77,1,9,
9,7742,AT,,,,,,66,4,11,66,4,6,2,4,
9,7752,AT,,,,,,51,1,13,66,1,77,7,1,
9,7768,AT,,,,,,58,3,12,66,1,2,3,66,
9,7773,AT,,,,,,28,2,12,66,1,2,1,66,
9,7774,AT,,,,,,46,3,10,66,1,9,2,9,
9,7780,AT,,,,,,29,3,11,66,1,6,1,1,
9,7806,AT,,,,,,62,3,11,66,4,5,2,4,
9,7815,AT,,,,,,57,3,15,66,2,88,2,2,
9,7822,AT,,,,,,61,3,12,66,1,5,2,4,
9,7855,AT,,,,,,52,3,12,66,1,4,3,66,
9,7971,AT,,,,,,84,4,11,66,4,6,2,4,
9,7976,AT,,,,,,80,3,8,66,4,3,1,9,
9,7987,AT,,,,,,44,3,11,66,4,3,3,4,
9,7988,AT,,,,,,41,3,13,66,1,7,2,1,
9,7999,AT,,,,,,58,1,11,66,1,5,2,9,
9,8005,AT,,,,,,26,4,14,1,1,7,1,1,
9,8020,AT,,,,,,78,1,23,66,4,4,1,66,
9,8022,AT,,,,,,41,4,11,66,1,8,2,1,
9,8029,AT,,,,,,37,3,11,66,1,77,2,1,
9,8033,AT,,,,,,69,2,15,66,4,2,1,66,
9,8073,AT,,,,,,71,3,22,66,1,8,1,4,
9,8082,AT,,,,,,51,5,19,66,2,4,3,2,
9,8086,AT,,,,,,68,1,12,66,1,6,2,9,
9,8103,AT,,,,,,56,3,12,66,1,4,2,66,
9,8128,AT,,,,,,58,4,11,66,1,9,2,1,
9,8152,AT,,,,,,65,1,11,66,4,3,2,66,
9,8197,AT,,,,,,68,4,8,66,4,4,3,9,
9,8210,AT,,,,,,68,4,12,66,4,5,2,4,
9,8215,AT,,,,,,39,1,11,66,1,77,2,1,
9,8225,AT,,,,,,77,3,12,66,4,3,1,66,
