cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,lrscale,prtvtehu,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
HU,ESS1-8e01,1.0,12.12.2018,201623,ESS7e02_2,7,2.2,1147,1,1.09958314426322,0.497735512,3,1,5,3,2,3,2,2,2,2,3,4,1,1,6,1,6,2,1,1,3,2,3
HU,ESS1-8e01,1.0,12.12.2018,201624,ESS7e02_2,7,2.2,1148,1,0.70770303061171,0.497735512,7,1,2,2,1,1,1,1,4,2,2,2,2,3,5,3,2,2,3,3,2,2,3
HU,ESS1-8e01,1.0,12.12.2018,201625,ESS7e02_2,7,2.2,1149,1,1.09958314426322,0.497735512,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201626,ESS7e02_2,7,2.2,1152,1,0.957078673888136,0.497735512,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201627,ESS7e02_2,7,2.2,1153,1,0.867632721531403,0.497735512,2,4,4,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3,2,2,3,3,2
HU,ESS1-8e01,1.0,12.12.2018,201628,ESS7e02_2,7,2.2,1154,1,1.8324889322562,0.497735512,5,66,2,2,3,3,1,3,3,2,2,2,2,1,1,1,4,2,2,2,2,2,1
HU,ESS1-8e01,1.0,12.12.2018,201629,ESS7e02_2,7,2.2,1155,1,0.867632721531403,0.497735512,8,1,3,2,1,2,2,3,4,3,3,2,2,1,4,3,4,2,2,2,2,3,3
HU,ESS1-8e01,1.0,12.12.2018,201630,ESS7e02_2,7,2.2,1156,1,1.09958314426322,0.497735512,6,1,1,4,2,3,2,2,3,3,3,2,1,1,4,2,4,2,1,1,2,2,2
HU,ESS1-8e01,1.0,12.12.2018,201631,ESS7e02_2,7,2.2,1157,1,0.867632721531403,0.497735512,7,1,2,2,2,3,2,2,2,2,2,3,3,3,3,1,4,3,3,1,2,2,2
HU,ESS1-8e01,1.0,12.12.2018,201632,ESS7e02_2,7,2.2,1158,1,1.46257437640464,0.497735512,88,88,3,2,3,3,3,2,3,2,3,1,4,4,4,1,4,3,3,3,3,3,3
